#HDR T 700.000000
#HDR DT 0.040000
#HDR theta0 0.087000
#HDR omega0 1000.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo tempo theta w alpha
0.000000 0.000000 0.087000 1000.000000 -0.852394
1.000000 0.040000 40.086319 999.848572 -6.718291
2.000000 0.080000 80.074890 999.910278 9.803741
3.000000 0.120000 120.079147 999.980164 -6.309464
4.000000 0.160000 160.073303 999.825073 -1.445830
5.000000 0.200000 200.065155 999.960938 8.237693
6.000000 0.240000 240.070190 999.936157 -9.476118
7.000000 0.280000 280.060059 999.833435 4.340291
8.000000 0.320000 320.056885 999.994019 3.689380
9.000000 0.360000 360.059601 999.883301 -9.224489
10.000000 0.400000 400.047546 999.870483 8.583007
11.000000 0.440000 440.049225 999.998108 -2.200657
12.000000 0.480000 480.047363 999.840698 -5.670477
13.000000 0.520000 520.036499 999.922424 9.758095
14.000000 0.560000 560.041199 999.971802 -7.289912
15.000000 0.600000 600.034180 999.824036 -0.098267
16.000000 0.640000 640.027100 999.970459 7.420348
17.000000 0.680000 680.031860 999.924133 -9.735948
18.000000 0.720000 720.020996 999.839600 5.508973
19.000000 0.760000 760.018982 999.997620 2.393182
20.000000 0.800000 800.020752 999.871948 -8.676733
21.000000 0.840000 840.008667 999.881531 9.155437
22.000000 0.880000 880.011230 999.994568 -3.504307
23.000000 0.920000 920.008179 999.834167 -4.516725
24.000000 0.960000 959.997925 999.934326 9.525624
25.000000 1.000000 1000.002930 999.962280 -8.127817
26.000000 1.040000 1039.994995 999.824707 1.250569
27.000000 1.080000 1079.989014 999.978943 6.460146
28.000000 1.120000 1119.993286 999.911987 -9.808822
29.000000 1.160000 1159.981934 999.847290 6.572960
30.000000 1.200000 1199.981079 999.999756 1.050736
31.000000 1.240000 1239.981934 999.861511 -7.963395
32.000000 1.280000 1279.970093 999.893311 9.554091
33.000000 1.320000 1319.973511 999.989563 -4.742684
34.000000 1.360000 1359.969360 999.829224 -3.273901
35.000000 1.400000 1399.959961 999.945923 9.108622
36.000000 1.440000 1439.965088 999.951843 -8.811321
37.000000 1.480000 1479.956055 999.827148 2.577990
38.000000 1.520000 1519.951172 999.986206 5.373427
39.000000 1.560000 1559.954834 999.899780 -9.693781
40.000000 1.600000 1599.942993 999.856140 7.512802
41.000000 1.640000 1639.943237 1000.000122 -0.312613
42.000000 1.680000 1679.942993 999.851868 -7.099008
43.000000 1.720000 1719.931274 999.905273 9.769674
44.000000 1.760000 1759.935303 999.982971 -5.885338
45.000000 1.800000 1799.929810 999.825745 -1.975676
46.000000 1.840000 1839.921265 999.956604 8.519315
47.000000 1.880000 1879.926392 999.940552 -9.321792
48.000000 1.920000 1919.916626 999.831177 3.851927
49.000000 1.960000 1959.912964 999.991943 4.186027
50.000000 2.000000 1999.915894 999.887756 -9.394265
51.000000 2.040000 2039.903809 999.866028 8.308341
52.000000 2.080000 2079.905029 999.998840 -1.666375
53.000000 2.120000 2119.903809 999.843506 -6.101346
54.000000 2.160000 2159.892578 999.917480 9.798876
55.000000 2.200000 2199.896973 999.975159 -6.913907
56.000000 2.240000 2239.890381 999.824097 -0.638974
57.000000 2.280000 2279.882812 999.966614 7.765782
58.000000 2.320000 2319.887695 999.928833 -9.654166
59.000000 2.360000 2359.876953 999.836792 5.050995
60.000000 2.400000 2399.874512 999.996216 2.920373
61.000000 2.440000 2439.876709 999.876282 -8.916900
62.000000 2.480000 2479.864746 999.876892 8.946755
63.000000 2.520000 2519.866943 999.996033 -2.989217
64.000000 2.560000 2559.864258 999.836426 -4.991029
65.000000 2.600000 2599.853760 999.929443 9.641088
66.000000 2.640000 2639.858643 999.966064 -7.809685
67.000000 2.680000 2679.850830 999.824036 0.708612
68.000000 2.720000 2719.844238 999.975464 6.864213
69.000000 2.760000 2759.848633 999.916687 -9.801950
70.000000 2.800000 2799.837402 999.843750 6.155850
71.000000 2.840000 2839.835938 999.998840 1.599909
72.000000 2.880000 2879.837158 999.865417 -8.272304
73.000000 2.920000 2919.825195 999.888245 9.413795
74.000000 2.960000 2959.828369 999.991516 -4.250128
75.000000 3.000000 2999.824707 999.830811 -3.786530
76.000000 3.040000 3039.814941 999.941040 9.299429
77.000000 3.080000 3079.819824 999.955994 -8.553122
78.000000 3.120000 3119.811279 999.825806 2.042826
79.000000 3.160000 3159.805908 999.983276 5.829344
80.000000 3.200000 3199.809814 999.904602 -9.763221
81.000000 3.240000 3239.798096 999.852234 7.146183
82.000000 3.280000 3279.797852 1000.000061 0.244036
83.000000 3.320000 3319.798096 999.855591 -7.468503
84.000000 3.360000 3359.786377 999.900330 9.704247
85.000000 3.400000 3399.790283 999.985718 -5.433684
86.000000 3.440000 3439.785400 999.826904 -2.508261
87.000000 3.480000 3479.776611 999.952332 8.778276
88.000000 3.520000 3519.781738 999.945190 -9.136056
89.000000 3.560000 3559.772217 999.829346 3.342995
90.000000 3.600000 3599.768066 999.989746 4.678305
91.000000 3.640000 3639.771240 999.892578 -9.537730
92.000000 3.680000 3679.759277 999.861877 8.003956
93.000000 3.720000 3719.760010 999.999573 -1.118920
94.000000 3.760000 3759.759033 999.846741 -6.522766
95.000000 3.800000 3799.747803 999.912476 9.809645
96.000000 3.840000 3839.752197 999.978394 -6.512512
97.000000 3.880000 3879.746094 999.824524 -1.182494
98.000000 3.920000 3919.738037 999.962646 8.089880
99.000000 3.960000 3959.743164 999.933594 -9.541790
100.000000 4.000000 3999.732910 999.834290 4.577515
101.000000 4.040000 4039.729980 999.994629 3.439022
102.000000 4.080000 4079.732422 999.880798 -9.130573
103.000000 4.120000 4119.720215 999.872375 8.707978
104.000000 4.160000 4159.722168 999.997314 -2.460234
105.000000 4.200000 4199.720215 999.839111 -5.451077
106.000000 4.240000 4239.709473 999.924622 9.726985
107.000000 4.280000 4279.714355 999.969788 -7.467371
108.000000 4.320000 4319.707520 999.823914 0.172852
109.000000 4.360000 4359.700684 999.972168 7.238575
110.000000 4.400000 4399.705566 999.921631 -9.765818
111.000000 4.440000 4439.694824 999.841003 5.735067
112.000000 4.480000 4479.692871 999.998169 2.124104
113.000000 4.520000 4519.694336 999.869751 -8.545755
114.000000 4.560000 4559.682129 999.883850 9.249706
115.000000 4.600000 4599.684570 999.993713 -3.756176
116.000000 4.640000 4639.681152 999.833008 -4.277583
117.000000 4.680000 4679.670898 999.936646 9.458140
118.000000 4.720000 4719.675781 999.960327 -8.273940
119.000000 4.760000 4759.667480 999.825073 1.510691
120.000000 4.800000 4799.661621 999.980469 6.259199
121.000000 4.840000 4839.665527 999.909607 -9.801331
122.000000 4.880000 4879.654297 999.848877 6.764758
123.000000 4.920000 4919.653809 999.999878 0.786769
124.000000 4.960000 4959.654297 999.859436 -7.807841
125.000000 5.000000 4999.642090 999.895447 9.609318
126.000000 5.040000 5039.645508 999.988281 -4.966825
127.000000 5.080000 5079.641113 999.828308 -3.031908
128.000000 5.120000 5119.631836 999.947876 9.010172
129.000000 5.160000 5159.637207 999.949646 -8.922155
130.000000 5.200000 5199.627930 999.827698 2.824813
131.000000 5.240000 5239.623535 999.987244 5.152721
132.000000 5.280000 5279.626953 999.897278 -9.650630
133.000000 5.320000 5319.615234 999.857788 7.677553
134.000000 5.360000 5359.615723 999.999817 -0.575082
135.000000 5.400000 5399.615234 999.849976 -6.916843
136.000000 5.440000 5439.604004 999.907471 9.790119
137.000000 5.480000 5479.607910 999.981384 -6.094351
138.000000 5.520000 5519.602051 999.825073 -1.719993
139.000000 5.560000 5559.593750 999.958374 8.386003
140.000000 5.600000 5599.599121 999.938049 -9.400979
141.000000 5.640000 5639.589355 999.831909 4.094337
142.000000 5.680000 5679.585938 999.992676 3.942543
143.000000 5.720000 5719.588379 999.885193 -9.315226
144.000000 5.760000 5759.576660 999.867798 8.446877
145.000000 5.800000 5799.578125 999.998108 -1.930545
146.000000 5.840000 5839.576660 999.841675 -5.890565
147.000000 5.880000 5879.565430 999.919495 9.782585
148.000000 5.920000 5919.569824 999.973145 -7.100283
149.000000 5.960000 5959.562988 999.823608 -0.375392
150.000000 6.000000 5999.555664 999.968079 7.600203
151.000000 6.040000 6039.560059 999.926147 -9.697164
152.000000 6.080000 6079.549316 999.837646 5.273389
153.000000 6.120000 6119.547363 999.996399 2.665064
154.000000 6.160000 6159.549316 999.873657 -8.803652
155.000000 6.200000 6199.537598 999.878662 9.052692
156.000000 6.240000 6239.540039 999.994812 -3.244017
157.000000 6.280000 6279.537598 999.834839 -4.755737
158.000000 6.320000 6319.526855 999.931458 9.587823
159.000000 6.360000 6359.531738 999.963806 -7.969365
160.000000 6.400000 6399.523926 999.823975 0.976344
161.000000 6.440000 6439.518066 999.976807 6.664402
162.000000 6.480000 6479.522461 999.913879 -9.809248
163.000000 6.520000 6519.511230 999.845032 6.368220
164.000000 6.560000 6559.509766 999.998962 1.327087
165.000000 6.600000 6599.510742 999.863037 -8.122084
166.000000 6.640000 6639.499023 999.890320 9.487685
167.000000 6.680000 6679.502441 999.990112 -4.499221
168.000000 6.720000 6719.498535 999.829529 -3.530529
169.000000 6.760000 6759.488770 999.943054 9.207908
170.000000 6.800000 6799.493652 999.953491 -8.684845
171.000000 6.840000 6839.484863 999.825989 2.309525
172.000000 6.880000 6879.479980 999.984253 5.603181
173.000000 6.920000 6919.483887 999.901672 -9.732149
174.000000 6.960000 6959.472168 999.853699 7.333951
175.000000 7.000000 6999.472168 999.999634 -0.036648
176.000000 7.040000 7039.472168 999.853210 -7.285068
177.000000 7.080000 7079.460449 999.902344 9.741093
178.000000 7.120000 7119.464355 999.983887 -5.663188
179.000000 7.160000 7159.459473 999.825867 -2.238225
180.000000 7.200000 7199.450684 999.954102 8.650519
181.000000 7.240000 7239.455566 999.942444 -9.232933
182.000000 7.280000 7279.445801 999.829773 3.598814
183.000000 7.320000 7319.441895 999.990417 4.433964
184.000000 7.360000 7359.444824 999.889709 -9.470037
185.000000 7.400000 7399.432617 999.863464 8.157645
186.000000 7.440000 7439.433594 999.998840 -1.390189
187.000000 7.480000 7479.432617 999.844727 -6.315956
188.000000 7.520000 7519.421387 999.914551 9.808160
189.000000 7.560000 7559.425781 999.976440 -6.714509
190.000000 7.600000 7599.419434 999.823914 -0.912924
191.000000 7.640000 7639.412109 999.964233 7.929222
192.000000 7.680000 7679.416992 999.930786 -9.602086
193.000000 7.720000 7719.406250 999.835083 4.815538
194.000000 7.760000 7759.403320 999.995056 3.183818
195.000000 7.800000 7799.405762 999.878174 -9.027953
196.000000 7.840000 7839.393555 999.874207 8.829490
197.000000 7.880000 7879.395508 999.996338 -2.721725
198.000000 7.920000 7919.393555 999.837402 -5.223606
199.000000 7.960000 7959.382812 999.926697 9.688077
200.000000 8.000000 7999.387695 999.967651 -7.640328
201.000000 8.040000 8039.379883 999.823547 0.434267
202.000000 8.080000 8079.373535 999.973328 7.056168
203.000000 8.120000 8119.378418 999.918701 -9.787465
204.000000 8.160000 8159.367188 999.841858 5.945201
205.000000 8.200000 8199.366211 999.997925 1.858629
206.000000 8.240000 8239.368164 999.866943 -8.406901
207.000000 8.280000 8279.356445 999.885620 9.339416
208.000000 8.320000 8319.359375 999.992065 -4.018290
209.000000 8.360000 8359.356445 999.831421 -4.014510
210.000000 8.400000 8399.346680 999.938660 9.375553
211.000000 8.440000 8439.351562 999.957581 -8.428707
212.000000 8.480000 8479.342773 999.824951 1.796814
213.000000 8.520000 8519.336914 999.981567 6.032969
214.000000 8.559999 8559.340820 999.906555 -9.784841
215.000000 8.599999 8599.329102 999.850220 6.968626
216.000000 8.639999 8639.329102 999.999512 0.497113
217.000000 8.679999 8679.329102 999.856812 -7.631713
218.000000 8.720000 8719.317383 999.897461 9.663519
219.000000 8.760000 8759.321289 999.986328 -5.219004
220.000000 8.800000 8799.316406 999.826843 -2.754544
221.000000 8.840000 8839.307617 999.949524 8.889412
222.000000 8.880000 8879.312500 999.946533 -9.038908
223.000000 8.920000 8919.303711 999.827881 3.106074
224.000000 8.960000 8959.299805 999.987915 4.895181
