#HDR T 20000.000000
#HDR DT 0.001000
#HDR theta0 0.087000
#HDR omega0 0.000000
#HDR L 1.000000
#HDR M 1.000000
#HDR g 9.810000
#passo   tempo    theta      w      alpha
0.000000 0.000000 0.087000 0.000000 -0.852394
100.000000 0.100000 0.082773 -0.083858 -0.811073
200.000000 0.200000 0.070500 -0.159582 -0.691037
300.000000 0.300000 0.051374 -0.219816 -0.503760
400.000000 0.400000 0.027252 -0.258689 -0.267305
500.000000 0.500000 0.000478 -0.272402 -0.004687
600.000000 0.600000 -0.026343 -0.259611 0.258390
700.000000 0.700000 -0.050600 -0.221570 0.496175
800.000000 0.800000 -0.069936 -0.161996 0.685518
900.000000 0.900000 -0.082474 -0.086697 0.808148
1000.000000 1.000000 -0.086995 -0.002990 0.852343
1100.000000 1.100000 -0.083062 0.081008 0.813900
1200.000000 1.200000 -0.071056 0.157149 0.696472
1300.000000 1.300000 -0.052142 0.218036 0.511282
1400.000000 1.400000 -0.028157 0.257736 0.276186
1500.000000 1.500000 -0.001433 0.272369 0.014059
1600.000000 1.600000 0.025430 0.260502 -0.249445
1700.000000 1.700000 0.049820 0.223297 -0.488531
1800.000000 1.800000 0.069364 0.164391 -0.679916
1900.000000 1.900000 0.082165 0.089527 -0.805127
2000.000000 2.000000 0.086979 0.005979 -0.852190
2100.000000 2.100000 0.083341 -0.078148 -0.816629
2200.000000 2.200000 0.071603 -0.154697 -0.701824
2300.000000 2.300000 0.052904 -0.216230 -0.518744
2400.000000 2.400000 0.029060 -0.256752 -0.285034
2500.000000 2.500000 0.002388 -0.272303 -0.023430
2600.000000 2.600000 -0.024515 -0.261361 0.240470
2700.000000 2.700000 -0.049034 -0.224997 0.480829
2800.000000 2.800000 -0.068783 -0.166766 0.674233
2900.000000 2.900000 -0.081846 -0.092345 0.802009
3000.000000 3.000000 -0.086953 -0.008968 0.851934
3100.000000 3.100000 -0.083610 0.075279 0.819260
3200.000000 3.200000 -0.072141 0.152226 0.707092
3300.000000 3.300000 -0.053659 0.214397 0.526142
3400.000000 3.400000 -0.029958 0.255737 0.293848
3500.000000 3.500000 -0.003343 0.272205 0.032798
3600.000000 3.600000 0.023597 0.262189 -0.231465
3700.000000 3.700000 0.048242 0.226670 -0.473067
3800.000000 3.800000 0.068194 0.169121 -0.668468
3900.000000 3.900000 0.081517 0.095153 -0.798795
4000.000000 4.000000 0.086916 0.011955 -0.851576
4100.000000 4.100000 0.083869 -0.072401 -0.821792
4200.000000 4.200000 0.072671 -0.149737 -0.712273
4300.000000 4.300000 0.054408 -0.212539 -0.533477
4400.000000 4.400000 0.030854 -0.254691 -0.302625
4500.000000 4.500000 0.004298 -0.272073 -0.042162
4600.000000 4.600000 -0.022676 -0.262985 0.222432
4700.000000 4.700000 -0.047444 -0.228315 0.465248
4800.000000 4.800000 -0.067597 -0.171455 0.662622
4900.000000 4.900000 -0.081178 -0.097949 0.795483
5000.000000 5.000000 -0.086869 -0.014941 0.851114
5100.000000 5.100000 -0.084118 0.069515 0.824225
5200.000000 5.200000 -0.073192 0.147229 0.717369
5300.000000 5.300000 -0.055150 0.210655 0.540746
5400.000000 5.400000 -0.031745 0.253614 0.311366
5500.000000 5.500000 -0.005252 0.271909 0.051521
5600.000000 5.600000 0.021752 0.263749 -0.213372
5700.000000 5.700000 0.046640 0.229933 -0.457373
5800.000000 5.800000 0.066992 0.173769 -0.656696
5900.000000 5.900000 0.080830 0.100733 -0.792076
6000.000000 6.000000 0.086811 0.017926 -0.850550
6100.000000 6.100000 0.084357 -0.066619 -0.826558
6200.000000 6.200000 0.073704 -0.144704 -0.722377
6300.000000 6.300000 0.055885 -0.208745 -0.547951
6400.000000 6.400000 0.032633 -0.252506 -0.320069
6500.000000 6.500000 0.006205 -0.271712 -0.060873
6600.000000 6.600000 -0.020826 -0.264481 0.204286
6700.000000 6.700000 -0.045831 -0.231524 0.449442
6800.000000 6.800000 -0.066378 -0.176062 0.650690
6900.000000 6.900000 -0.080471 -0.103505 0.788572
7000.000000 7.000000 -0.086743 -0.020908 0.849884
7100.000000 7.100000 -0.084585 0.063716 0.828791
7200.000000 7.200000 -0.074207 0.142162 0.727298
7300.000000 7.300000 -0.056614 0.206811 0.555089
7400.000000 7.400001 -0.033516 0.251368 0.328733
7500.000000 7.500000 -0.007158 0.271481 0.070219
7600.000000 7.600000 0.019897 0.265182 -0.195174
7700.000000 7.700000 0.045016 0.233086 -0.441456
7800.000000 7.800000 0.065756 0.178333 -0.644605
7900.000000 7.900001 0.080103 0.106265 -0.784975
8000.000000 8.000000 0.086665 0.023888 -0.849116
8100.000000 8.100000 0.084804 -0.060805 -0.830927
8200.000000 8.200001 0.074701 -0.139602 -0.732133
8300.000000 8.300000 0.057336 -0.204851 -0.562160
8400.000000 8.400001 0.034396 -0.250200 -0.337358
8500.000000 8.500000 0.008110 -0.271219 -0.079556
8600.000000 8.600000 -0.018965 -0.265851 0.186040
